,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state,total_people_by_state_and_age_range,total_man_by_state_and_age_range,total_woman_by_state_and_age_range,rate_level
0,2005,Aguascalientes,1 salario m¡nimo,3157,3157,0,0,0,0,0,0,0,0
1,2005,Aguascalientes,Menos de 1 s.m.,118401,7189,0,0,0,0,0,0,0,0
2,2005,Aguascalientes,M s de 1 hasta 2 s.m.,5092,1171,0,0,0,0,0,0,0,0
3,2005,Aguascalientes,M s de 10 s.m.,257632,132994,0,0,0,0,0,0,0,0
4,2005,Aguascalientes,M s de 2 hasta 3 s.m.,140654,5509,0,0,0,0,0,0,0,0
5,2005,Aguascalientes,M s de 3 hasta 5 s.m.,339865,112911,0,0,0,0,0,0,0,0
6,2005,Aguascalientes,M s de 5 hasta 10 s.m.,57276,13380,0,0,0,0,0,0,0,0
7,2005,Aguascalientes,No especificado,14992,5708,0,0,0,0,0,0,0,0
8,2005,Aguascalientes,No recibe ingresos,64577,4590,0,0,0,0,0,0,0,0
9,2005,Baja California,1 salario m¡nimo,3007,199,0,0,0,0,0,0,0,0
10,2005,Baja California,Menos de 1 s.m.,294185,76612,0,0,0,0,0,0,0,0
11,2005,Baja California,M s de 1 hasta 2 s.m.,20085,5747,0,0,0,0,0,0,0,0
12,2005,Baja California,M s de 10 s.m.,748055,329315,0,0,0,0,0,0,0,0
13,2005,Baja California,M s de 2 hasta 3 s.m.,423938,14506,0,0,0,0,0,0,0,0
14,2005,Baja California,M s de 3 hasta 5 s.m.,1065217,426726,0,0,0,0,0,0,0,0
15,2005,Baja California,M s de 5 hasta 10 s.m.,107923,32161,0,0,0,0,0,0,0,0
16,2005,Baja California,No especificado,30403,13442,0,0,0,0,0,0,0,0
17,2005,Baja California,No recibe ingresos,171619,13638,0,0,0,0,0,0,0,0
18,2005,Baja California Sur,1 salario m¡nimo,4601,426,0,0,0,0,0,0,0,0
19,2005,Baja California Sur,Menos de 1 s.m.,107013,20013,0,0,0,0,0,0,0,0
20,2005,Baja California Sur,M s de 1 hasta 2 s.m.,10934,2379,0,0,0,0,0,0,0,0
21,2005,Baja California Sur,M s de 10 s.m.,163214,81306,0,0,0,0,0,0,0,0
22,2005,Baja California Sur,M s de 2 hasta 3 s.m.,101715,3799,0,0,0,0,0,0,0,0
23,2005,Baja California Sur,M s de 3 hasta 5 s.m.,53931,17435,0,0,0,0,0,0,0,0
24,2005,Baja California Sur,M s de 5 hasta 10 s.m.,24307,5248,0,0,0,0,0,0,0,0
25,2005,Baja California Sur,No especificado,6810,3288,0,0,0,0,0,0,0,0
26,2005,Baja California Sur,No recibe ingresos,38176,5288,0,0,0,0,0,0,0,0
27,2005,Campeche,1 salario m¡nimo,27881,7860,0,0,0,0,0,0,0,0
28,2005,Campeche,Menos de 1 s.m.,270087,17968,0,0,0,0,0,0,0,0
29,2005,Campeche,M s de 1 hasta 2 s.m.,5336,808,0,0,0,0,0,0,0,0
30,2005,Campeche,M s de 10 s.m.,197289,113436,0,0,0,0,0,0,0,0
31,2005,Campeche,M s de 2 hasta 3 s.m.,110497,6252,0,0,0,0,0,0,0,0
32,2005,Campeche,M s de 3 hasta 5 s.m.,143653,73274,0,0,0,0,0,0,0,0
33,2005,Campeche,M s de 5 hasta 10 s.m.,19509,4270,0,0,0,0,0,0,0,0
34,2005,Campeche,No especificado,7631,2411,0,0,0,0,0,0,0,0
